text,startpos,endpos,frequency,passage_type
"Wo ist die Hand so zart, daß ohne Irren
Sie sondern mag beschränkten Hirnes Wirren,
So fest, daß ohne Zittern sie den Stein
Mag schleudern auf ein arm verkümmert Sein?
Wer wagt es, eitlen Blutes Drang zu messen,
Zu wägen jedes Wort, das unvergessen
In junge Brust die zähen Wurzeln trieb,
Des Vorurteils geheimen Seelendieb?
Du Glücklicher, geboren und gehegt
Im lichten Raum, von frommer Hand gepflegt,
Leg hin die Waagschal, nimmer dir erlaubt!
Laß ruhn den Stein – er trifft dein eignes Haupt!",0,496,18.756756756756758,cited
"

",496,498,0.0,not_cited
"Friedrich Mergel, geboren 1738, war der einzige Sohn eines sogenannten Halbmeiers oder Grundeigentümers geringerer Klasse im Dorfe B., das, so schlecht gebaut und rauchig es sein mag, doch das Auge jedes Reisenden fesselt durch die überaus malerische Schönheit seiner Lage in der grünen Waldschlucht eines bedeutenden und geschichtlich merkwürdigen Gebirges. Das Ländchen, dem es angehörte, war damals einer jener abgeschlossenen Erdwinkel ohne Fabriken und Handel, ohne Heerstraßen, wo noch ein fremdes Gesicht Aufsehen erregte und eine Reise von dreißig Meilen selbst den Vornehmeren zum Ulysses seiner Gegend machte – kurz, ein Fleck, wie es deren sonst so viele in Deutschland gab, mit all den Mängeln und Tugenden, all der Originalität und Beschränktheit, wie sie nur in solchen Zuständen gedeihen. Unter höchst einfachen und häufig unzulänglichen Gesetzen waren die Begriffe der Einwohner von Recht und Unrecht einigermaßen in Verwirrung geraten, oder vielmehr, es hatte sich neben dem gesetzlichen ein zweites Recht gebildet, ein Recht der öffentlichen Meinung, der Gewohnheit und der durch Vernachlässigung entstandenen Verjährung. Die Gutsbesitzer, denen die niedere Gerichtsbarkeit zustand, straften und belohnten nach ihrer in den meisten Fällen redlichen Einsicht; der Untergebene tat, was ihm ausführbar und mit einem etwas weiten Gewissen verträglich schien, und nur dem Verlierenden fiel es zuweilen ein, in alten staubichten Urkunden nachzuschlagen.",498,1963,9.492753623188406,cited
"
",1963,1964,0.0,not_cited
"Es ist schwer, jene Zeit unparteiisch ins Auge zu fassen; sie ist seit ihrem Verschwinden entweder hochmütig getadelt oder albern gelobt worden, da den, der sie erlebte, zuviel teure Erinnerungen blenden und der Spätergeborene sie nicht begreift. Soviel darf man indessen behaupten, daß die Form schwächer, der Kern fester, Vergehen häufiger, Gewissenlosigkeit seltener waren. Denn wer nach seiner Überzeugung handelt, und sei sie noch so mangelhaft, kann nie ganz zugrunde gehen, wogegen nichts seelentötender wirkt, als gegen das innere Rechtsgefühl das äußere Recht in Anspruch nehmen.
Ein Menschenschlag, unruhiger und unternehmender als alle seine Nachbarn, ließ in dem kleinen Staate, von dem wir reden, manches weit greller hervortreten als anderswo unter gleichen Umständen. Holz- und Jagdfrevel waren an der Tagesordnung, und bei den häufig vorfallenden Schlägereien hatte sich jeder selbst seines zerschlagenen Kopfes zu trösten. Da jedoch große und ergiebige Waldungen den Hauptreichtum des Landes ausmachten, ward allerdings scharf über die Forsten gewacht, aber weniger auf gesetzlichem Wege als in stets erneuten Versuchen, Gewalt und List mit gleichen Waffen zu überbieten.",1964,3152,4.482758620689655,cited
"
Das Dorf B. galt für ",3152,3174,0.0,not_cited
"die hochmütigste, schlauste und kühnste Gemeinde des ganzen Fürstentums.",3174,3246,2.6666666666666665,cited
 ,3246,3247,0.0,not_cited
Seine Lage inmitten tiefer und stolzer Waldeinsamkeit mochte schon früh den angeborenen Starrsinn der Gemüter nähren;,3247,3364,2.0,cited
 ,3364,3365,0.0,not_cited
"die Nähe eines Flusses, der in die See mündete und bedeckte Fahrzeuge trug, groß genug, um Schiffbauholz bequem und sicher außer Land zu führen, trug sehr dazu bei, die natürliche Kühnheit der Holzfrevler zu ermutigen",3365,3582,1.3333333333333333,cited
", und der Umstand, daß alles umher von Förstern wimmelte, konnte hier nur aufregend wirken, da bei ",3582,3681,0.0,not_cited
den häufig vorkommenden Scharmützeln der Vorteil meist auf seiten der Bauern,3681,3757,1.0,cited
 blieb. ,3757,3765,0.0,not_cited
"Dreißig, vierzig Wagen zogen zugleich aus in den schönen Mondnächten mit ungefähr doppelt soviel Mannschaft jedes Alters, vom halbwüchsigen Knaben bis zum siebzigjährigen Ortsvorsteher, der als erfahrener Leitbock den Zug mit gleich stolzem Bewußtsein anführte, als er seinen Sitz in der Gerichtsstube einnahm.",3765,4075,3.9,cited
 ,4075,4076,0.0,not_cited
