,id,startpos,endpos,text
0,2,0,496,"Wo ist die Hand so zart, daß ohne Irren
Sie sondern mag beschränkten Hirnes Wirren,
So fest, daß ohne Zittern sie den Stein
Mag schleudern auf ein arm verkümmert Sein?
Wer wagt es, eitlen Blutes Drang zu messen,
Zu wägen jedes Wort, das unvergessen
In junge Brust die zähen Wurzeln trieb,
Des Vorurteils geheimen Seelendieb?
Du Glücklicher, geboren und gehegt
Im lichten Raum, von frommer Hand gepflegt,
Leg hin die Waagschal, nimmer dir erlaubt!
Laß ruhn den Stein – er trifft dein eignes Haupt!"
1,6,498,1963,"Friedrich Mergel, geboren 1738, war der einzige Sohn eines sogenannten Halbmeiers oder Grundeigentümers geringerer Klasse im Dorfe B., das, so schlecht gebaut und rauchig es sein mag, doch das Auge jedes Reisenden fesselt durch die überaus malerische Schönheit seiner Lage in der grünen Waldschlucht eines bedeutenden und geschichtlich merkwürdigen Gebirges. Das Ländchen, dem es angehörte, war damals einer jener abgeschlossenen Erdwinkel ohne Fabriken und Handel, ohne Heerstraßen, wo noch ein fremdes Gesicht Aufsehen erregte und eine Reise von dreißig Meilen selbst den Vornehmeren zum Ulysses seiner Gegend machte – kurz, ein Fleck, wie es deren sonst so viele in Deutschland gab, mit all den Mängeln und Tugenden, all der Originalität und Beschränktheit, wie sie nur in solchen Zuständen gedeihen. Unter höchst einfachen und häufig unzulänglichen Gesetzen waren die Begriffe der Einwohner von Recht und Unrecht einigermaßen in Verwirrung geraten, oder vielmehr, es hatte sich neben dem gesetzlichen ein zweites Recht gebildet, ein Recht der öffentlichen Meinung, der Gewohnheit und der durch Vernachlässigung entstandenen Verjährung. Die Gutsbesitzer, denen die niedere Gerichtsbarkeit zustand, straften und belohnten nach ihrer in den meisten Fällen redlichen Einsicht; der Untergebene tat, was ihm ausführbar und mit einem etwas weiten Gewissen verträglich schien, und nur dem Verlierenden fiel es zuweilen ein, in alten staubichten Urkunden nachzuschlagen."
2,121,1964,3152,"Es ist schwer, jene Zeit unparteiisch ins Auge zu fassen; sie ist seit ihrem Verschwinden entweder hochmütig getadelt oder albern gelobt worden, da den, der sie erlebte, zuviel teure Erinnerungen blenden und der Spätergeborene sie nicht begreift. Soviel darf man indessen behaupten, daß die Form schwächer, der Kern fester, Vergehen häufiger, Gewissenlosigkeit seltener waren. Denn wer nach seiner Überzeugung handelt, und sei sie noch so mangelhaft, kann nie ganz zugrunde gehen, wogegen nichts seelentötender wirkt, als gegen das innere Rechtsgefühl das äußere Recht in Anspruch nehmen.
Ein Menschenschlag, unruhiger und unternehmender als alle seine Nachbarn, ließ in dem kleinen Staate, von dem wir reden, manches weit greller hervortreten als anderswo unter gleichen Umständen. Holz- und Jagdfrevel waren an der Tagesordnung, und bei den häufig vorfallenden Schlägereien hatte sich jeder selbst seines zerschlagenen Kopfes zu trösten. Da jedoch große und ergiebige Waldungen den Hauptreichtum des Landes ausmachten, ward allerdings scharf über die Forsten gewacht, aber weniger auf gesetzlichem Wege als in stets erneuten Versuchen, Gewalt und List mit gleichen Waffen zu überbieten."
3,742,3174,3246,"die hochmütigste, schlauste und kühnste Gemeinde des ganzen Fürstentums."
4,426,3247,3364,Seine Lage inmitten tiefer und stolzer Waldeinsamkeit mochte schon früh den angeborenen Starrsinn der Gemüter nähren;
5,269,3365,3582,"die Nähe eines Flusses, der in die See mündete und bedeckte Fahrzeuge trug, groß genug, um Schiffbauholz bequem und sicher außer Land zu führen, trug sehr dazu bei, die natürliche Kühnheit der Holzfrevler zu ermutigen"
6,746,3681,3757,den häufig vorkommenden Scharmützeln der Vorteil meist auf seiten der Bauern
7,323,3765,4075,"Dreißig, vierzig Wagen zogen zugleich aus in den schönen Mondnächten mit ungefähr doppelt soviel Mannschaft jedes Alters, vom halbwüchsigen Knaben bis zum siebzigjährigen Ortsvorsteher, der als erfahrener Leitbock den Zug mit gleich stolzem Bewußtsein anführte, als er seinen Sitz in der Gerichtsstube einnahm."
8,175,4076,4522,"Die Zurückgebliebenen horchten sorglos dem allmählichen Verhallen des Knarrens und Stoßens der Räder in den Hohlwegen und schliefen sacht weiter. Ein gelegentlicher Schuß, ein schwacher Schrei ließen wohl einmal eine junge Frau oder Braut auffahren; kein anderer achtete darauf. Beim ersten Morgengrau kehrte der Zug ebenso schweigend heim, die Gesichter glühend wie Erz, hier und dort einer mit verbundenem Kopf, was weiter nicht in Betracht kam"
9,750,4630,4756,"aus dem Walde getragen wurden, zerschlagen, mit Schnupftabak geblendet und für einige Zeit unfähig, ihrem Berufe nachzukommen."
