text,startpos,endpos,frequency,passage_type
﻿,0,1,0.0,not_cited
"An den Ufern der Havel lebte, um die Mitte des sechzehnten Jahrhunderts, ein Roßhändler, namens Michael Kohlhaas, Sohn eines Schulmeisters, einer der rechtschaffensten zugleich und entsetzlichsten Menschen seiner Zeit. – Dieser außerordentliche Mann würde, bis in sein dreißigstes Jahr für das Muster eines guten Staatsbürgers haben gelten können. Er besaß in einem Dorfe, das noch von ihm den Namen führt, einen Meierhof, auf welchem er sich durch sein Gewerbe ruhig ernährte; die Kinder, die ihm sein Weib schenkte, erzog er, in der Furcht Gottes, zur Arbeitsamkeit und Treue; nicht einer war unter seinen Nachbarn, der sich nicht seiner Wohltätigkeit, oder seiner Gerechtigkeit erfreut hätte; kurz, die Welt würde sein Andenken haben segnen müssen, wenn er in einer Tugend nicht ausgeschweift hätte. Das Rechtgefühl aber machte ihn zum Räuber und Mörder.",1,858,10.043478260869565,cited
"
",858,859,0.0,not_cited
"Er ritt einst, mit einer Koppel junger Pferde, wohlgenährt alle und glänzend, ins Ausland, und überschlug eben, wie er den Gewinst, den er auf den Märkten damit zu machen hoffte, anlegen wolle: teils, nach Art guter Wirte, auf neuen Gewinst, teils aber auch auf den Genuß der Gegenwart",859,1144,2.0,cited
: ,1144,1146,0.0,not_cited
"als er an die Elbe kam, und bei einer stattlichen Ritterburg, auf sächsischem Gebiete, einen Schlagbaum traf, den er sonst auf diesem Wege nicht gefunden hatte.",1146,1306,1.3333333333333333,cited
" Er hielt, in einem Augenblick, da ",1306,1341,0.0,not_cited
eben der Regen heftig stürmte,1341,1370,1.0,cited
", mit den Pferden still, und rief den Schlagwärter, der auch bald darauf, mit einem grämlichen Gesicht, aus dem Fenster sah. Der Roßhändler sagte, daß er ihm öffnen solle. ",1370,1542,0.0,not_cited
"Was gibt's hier Neues? fragte er, da der Zöllner, nach einer geraumen Zeit, aus dem Hause trat. Landesherrliches Privilegium, antwortete dieser, indem er aufschloß: dem Junker Wenzel von Tronka verliehen. – So, sagte Kohlhaas. Wenzel heißt der Junker?",1542,1793,2.142857142857143,cited
 und sah sich ,1793,1807,0.0,not_cited
"das Schloß an, das mit glänzenden Zinnen über das Feld blickte.",1807,1870,2.0,cited
 ,1870,1871,0.0,not_cited
"Ist der alte Herr tot? – Am Schlagfluß gestorben, erwiderte der Zöllner, indem er den Baum in die Höhe ließ.",1871,1979,2.75,cited
 – ,1979,1982,0.0,not_cited
