,id,startpos,endpos,text
0,95,1,858,"An den Ufern der Havel lebte, um die Mitte des sechzehnten Jahrhunderts, ein Roßhändler, namens Michael Kohlhaas, Sohn eines Schulmeisters, einer der rechtschaffensten zugleich und entsetzlichsten Menschen seiner Zeit. – Dieser außerordentliche Mann würde, bis in sein dreißigstes Jahr für das Muster eines guten Staatsbürgers haben gelten können. Er besaß in einem Dorfe, das noch von ihm den Namen führt, einen Meierhof, auf welchem er sich durch sein Gewerbe ruhig ernährte; die Kinder, die ihm sein Weib schenkte, erzog er, in der Furcht Gottes, zur Arbeitsamkeit und Treue; nicht einer war unter seinen Nachbarn, der sich nicht seiner Wohltätigkeit, oder seiner Gerechtigkeit erfreut hätte; kurz, die Welt würde sein Andenken haben segnen müssen, wenn er in einer Tugend nicht ausgeschweift hätte. Das Rechtgefühl aber machte ihn zum Räuber und Mörder."
1,339,859,1144,"Er ritt einst, mit einer Koppel junger Pferde, wohlgenährt alle und glänzend, ins Ausland, und überschlug eben, wie er den Gewinst, den er auf den Märkten damit zu machen hoffte, anlegen wolle: teils, nach Art guter Wirte, auf neuen Gewinst, teils aber auch auf den Genuß der Gegenwart"
2,2112,1146,1306,"als er an die Elbe kam, und bei einer stattlichen Ritterburg, auf sächsischem Gebiete, einen Schlagbaum traf, den er sonst auf diesem Wege nicht gefunden hatte."
3,2116,1341,1370,eben der Regen heftig stürmte
4,145,1542,1793,"Was gibt's hier Neues? fragte er, da der Zöllner, nach einer geraumen Zeit, aus dem Hause trat. Landesherrliches Privilegium, antwortete dieser, indem er aufschloß: dem Junker Wenzel von Tronka verliehen. – So, sagte Kohlhaas. Wenzel heißt der Junker?"
5,341,1807,1870,"das Schloß an, das mit glänzenden Zinnen über das Feld blickte."
6,343,1871,1979,"Ist der alte Herr tot? – Am Schlagfluß gestorben, erwiderte der Zöllner, indem er den Baum in die Höhe ließ."
7,345,1982,2250,"Hm! Schade! versetzte Kohlhaas. Ein würdiger alter Herr, der seine Freude am Verkehr der Menschen hatte, Handel und Wandel, wo er nur vermochte, forthalf, und einen Steindamm einst bauen ließ, weil mir eine Stute, draußen, wo der Weg ins Dorf geht, das Bein gebrochen."
8,2126,2301,2343,"die Groschen, die der Zollwärter verlangte"
9,733,2505,2590,"wenn der Baum im Walde stehen geblieben wäre, wär's besser gewesen, für mich und Euch"
10,2129,2597,2930,"damit gab er ihm das Geld und wollte reiten. Er war aber noch kaum unter den Schlagbaum gekommen, als eine neue Stimme schon: halt dort, der Roßkamm! hinter ihm vom Turm erscholl, und er den Burgvogt ein Fenster zuwerfen und zu ihm herabeilen sah. Nun, was gibt's Neues? fragte Kohlhaas bei sich selbst, und hielt mit den Pferden an."
11,2136,2945,3014,indem er sich noch eine Weste über seinen weitläufigen Leib zuknüpfte
12,2138,3025,4109,"fragte, schief gegen die Witterung gestellt, nach dem Paßschein. – Kohlhaas fragte: der Paßschein? Er sagte, ein wenig betreten, daß er, soviel er wisse, keinen habe; daß man ihm aber nur beschreiben möchte, was dies für ein Ding des Herrn sei: so werde er vielleicht zufälligerweise damit versehen sein. Der Schloßvogt, indem er ihn von der Seite ansah, versetzte, daß ohne einen landesherrlichen Erlaubnisschein, kein Roßkamm mit Pferden über die Grenze gelassen würde. Der Roßkamm versicherte, daß er siebzehn Mal in seinem Leben, ohne einen solchen Schein, über die Grenze gezogen sei; daß er alle landesherrlichen Verfügungen, die sein Gewerbe angingen, genau kennte; daß dies wohl nur ein Irrtum sein würde, wegen dessen er sich zu bedenken bitte, und daß man ihn, da seine Tagereise lang sei, nicht länger unnützerweise hier aufhalten möge. Doch der Vogt erwiderte, daß er das achtzehnte Mal nicht durchschlüpfen würde, daß die Verordnung deshalb erst neuerlich erschienen wäre, und daß er entweder den Paßschein noch hier lösen, oder zurückkehren müsse, wo er hergekommen sei."
13,427,4271,4319,er den Junker von Tronka selbst darüber sprechen
14,1121,4354,4454,"der Vogt folgte ihm, indem er von filzigen Geldraffern und nützlichen Aderlässen derselben murmelte;"
15,2149,4465,4521,"traten, mit ihren Blicken einander messend, in den Saal."
16,570,4522,5018,"Es traf sich, daß der Junker eben, mit einigen muntern Freunden, beim Becher saß, und, um eines Schwanks willen, ein unendliches Gelächter unter ihnen erscholl, als Kohlhaas, um seine Beschwerde anzubringen, sich ihm näherte. Der Junker fragte, was er wolle; die Ritter, als sie den fremden Mann erblickten, wurden still; doch kaum hatte dieser sein Gesuch, die Pferde betreffend, angefangen, als der ganze Troß schon: Pferde? Wo sind sie? ausrief, und an die Fenster eilte, um sie zu betrachten."
